User,Card,Year,Month,Day,Zip,MCC,Amount,UseChip,MerchantName,MerchantCity,MerchantState,target
1750.0,0.0,2015.0,7.0,16.0,44883.0,7832.0,$21.42,Swipe Transaction,Lukass Theaters,Tiffin,OH,No
1959.0,1.0,2016.0,5.0,5.0,93535.0,5300.0,$76.99,Chip Transaction,Jadens Wholesale,Lancaster,CA,No
182.0,2.0,2012.0,11.0,23.0,77096.0,5411.0,$2.19,Swipe Transaction,Supermarket Chain 3,Houston,TX,No
458.0,2.0,2019.0,5.0,15.0,48532.0,5411.0,$45.73,Chip Transaction,Supermarket Chain 3,Flint,MI,No
1949.0,0.0,2018.0,1.0,4.0,11213.0,5499.0,$1.25,Chip Transaction,Convenience Store Chain 1,Brooklyn,NY,No
899.0,1.0,2004.0,7.0,17.0,30349.0,4829.0,$100.00,Swipe Transaction,Money Transfer Company 1,Atlanta,GA,No
168.0,1.0,2005.0,9.0,15.0,55407.0,5912.0,$103.04,Swipe Transaction,Pharmacy Company 1,Minneapolis,MN,No
282.0,1.0,2016.0,12.0,16.0,80220.0,5912.0,$147.80,Chip Transaction,Pharmacy Company 1,Denver,CO,No
1167.0,5.0,2009.0,8.0,25.0,77836.0,5411.0,$84.41,Swipe Transaction,Taylor Caldwell Grocery,Caldwell,TX,No
362.0,0.0,2013.0,10.0,7.0,11213.0,5211.0,$45.29,Swipe Transaction,Solomons Home Materials,Brooklyn,NY,No
591.0,3.0,2015.0,9.0,3.0,85941.0,5651.0,$34.24,Chip Transaction,Gutierrez Family Clothing,Whiteriver,AZ,No
1113.0,4.0,2007.0,11.0,21.0,16505.0,4121.0,$9.45,Swipe Transaction,Ishaans Limousine,Erie,PA,No
732.0,2.0,2018.0,5.0,20.0,51694.67689524219,7801.0,$433.18,Online Transaction,Online Casino 3,ONLINE,CA,No
1075.0,5.0,2014.0,3.0,8.0,44001.0,5912.0,$89.03,Swipe Transaction,Pharmacy Company 1,Amherst,OH,No
1216.0,3.0,2005.0,3.0,1.0,77076.0,5499.0,$27.19,Swipe Transaction,Vending Machine Product 2,Houston,TX,No
95.0,2.0,2012.0,2.0,8.0,76014.0,5300.0,$22.26,Swipe Transaction,Wholesale Club 1,Arlington,TX,No
56.0,3.0,2009.0,12.0,15.0,36547.0,5912.0,$36.50,Swipe Transaction,Moore Gulf Shores Apothecary,Gulf Shores,AL,No
141.0,1.0,2003.0,4.0,30.0,51694.67689524219,5211.0,$93.42,Swipe Transaction,Home Improvement Store 1,Paris,France,No
1135.0,0.0,2014.0,9.0,14.0,11967.0,5411.0,$4.59,Swipe Transaction,Braun Shirley Market,Shirley,NY,No
1195.0,0.0,2017.0,2.0,4.0,88201.0,4900.0,$160.43,Chip Transaction,Ramirez Roswell Water,Roswell,NM,No
1129.0,0.0,2017.0,11.0,4.0,48626.0,5411.0,$1.18,Chip Transaction,Supermarket Chain 2,Hemlock,MI,No
